PEDIDO_ID,FECHA_CITA,FECHA_INGRESO,FECHA_ESTADO,CONCEPTO_ID,FUENTE,STATUS,MOTIVO_MALO,INCIDENTE,USUARIO,FECHAMALO
1-3HIX68ZAT,9999-00-00,"2018-05-03 22:37:47","2018-05-03 17:43:59","VERIFICAR DISPONIBILIDAD",SIEBEL,MALO,"CONSTRUCCION - PENDIENTE",NO,OCAJESUD,"2018-05-07 06:48:41"
129183870,0000-00-00,"2018-03-28 13:40:38","2018-04-13 14:48:23",PETEC,FENIX_NAL,MALO,"PENDIENTE B2B"," ",DCHALARC,"2018-05-03 15:36:30"
129523732,0000-00-00,"2018-04-25 06:50:14","2018-04-25 06:53:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-25 07:42:37"
129523818,0000-00-00,"2018-04-25 07:48:02","2018-04-25 07:51:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-02 09:47:20"
129528296,0000-00-00,"2018-04-25 15:16:55","2018-04-27 10:10:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 10:38:51"
129533424,0000-00-00,"2018-04-26 16:22:39","2018-04-26 16:30:46",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 06:29:09"
129593876,0000-00-00,"2018-05-02 15:39:33","2018-05-03 16:07:32",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-03 17:07:34"
129598946,0000-00-00,"2018-05-03 08:15:57","2018-05-03 08:19:47",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-03 08:59:02"
129601991,0000-00-00,"2018-05-03 13:25:39","2018-05-04 14:57:54",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-04 15:54:17"
129610157,9999-00-00,"2018-05-04 18:21:00","2018-05-04 13:28:26",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:53:36"
129614033,0000-00-00,"2018-05-04 18:57:07","2018-05-05 09:37:59",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-05 10:15:15"
129618776,0000-00-00,"2018-05-05 17:08:52","2018-05-05 13:24:26",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",JQUICEVA,"2018-05-06 09:08:04"
129621022,0000-00-00,"2018-05-05 21:32:59","2018-05-05 21:23:33",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:58:21"
129621132,9999-00-00,"2018-05-04 23:31:19","2018-05-05 17:58:26",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:54:00"
129621231,0000-00-00,"2018-05-05 23:46:01","2018-05-06 03:41:09",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:59:42"
129624702,0000-00-00,"2018-05-03 12:18:45","2018-05-06 11:45:31",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:54:59"
129624775,9999-00-00,"2018-05-04 19:59:06","2018-05-06 11:43:26",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:55:42"
129624890,9999-00-00,"2018-05-06 12:43:26","2018-05-06 12:43:26",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",BARANGOV,"2018-05-06 14:00:11"
129635146,9999-00-00,"2018-05-03 14:42:06","2018-05-07 06:13:27",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-07 06:59:52"
